iter	RMSE
136	0.8861786049
137	0.8827807746
138	0.8793959725
139	0.8760241486
140	0.8726652531
141	0.8693192364
142	0.8659860492
143	0.8626656422
144	0.8593579666
145	0.8560629734
146	0.852780614
147	0.84951084
148	0.8462536031
149	0.8430088553
150	0.8397765487
151	0.8365566355
152	0.8333490683
153	0.8301537997
154	0.8269707826
155	0.8237999699
156	0.8206413149
157	0.817494771
158	0.8143602918
159	0.8112378309
160	0.8081273423
161	0.8050287801
162	0.8019420986
163	0.7988672522
164	0.7958041955
165	0.7927528833
166	0.7897132706
167	0.7866853126
168	0.7836689645
169	0.7806641818
170	0.7776709202
171	0.7746891356
172	0.7717187838
173	0.7687598211
174	0.7658122039
175	0.7628758885
176	0.7599508317
177	0.7570369903
178	0.7541343212
179	0.7512427818
180	0.7483623292
181	0.745492921
182	0.7426345148
183	0.7397870685
184	0.73695054
185	0.7341248875
186	0.7313100692
187	0.7285060436
188	0.7257127694
189	0.7229302052
190	0.7201583102
191	0.7173970432
192	0.7146463637
193	0.7119062309
194	0.7091766045
195	0.7064574442
196	0.7037487098
197	0.7010503613
198	0.698362359
199	0.6956846632
200	0.6930172344
201	0.6903600331
202	0.6877130202
203	0.6850761566
204	0.6824494034
205	0.6798327218
206	0.6772260733
207	0.6746294193
208	0.6720427215
209	0.6694659417
210	0.666899042
211	0.6643419844
212	0.6617947312
213	0.6592572448
214	0.6567294878
215	0.6542114228
216	0.6517030127
217	0.6492042205
218	0.6467150092
219	0.6442353423
220	0.6417651829
221	0.6393044948
222	0.6368532416
223	0.6344113872
224	0.6319788953
225	0.6295557303
226	0.6271418563
227	0.6247372377
228	0.622341839
229	0.6199556249
230	0.61757856
231	0.6152106095
232	0.6128517383
233	0.6105019115
234	0.6081610946
235	0.605829253
236	0.6035063523
237	0.6011923581
238	0.5988872363
239	0.596590953
240	0.5943034742
241	0.5920247661
242	0.5897547952
243	0.5874935279
244	0.5852409309
245	0.5829969709
246	0.5807616149
247	0.5785348297
248	0.5763165826
249	0.5741068407
250	0.5719055716
251	0.5697127428
252	0.5675283217
253	0.5653522763
254	0.5631845744
255	0.561025184
256	0.5588740732
257	0.5567312103
258	0.5545965637
259	0.5524701019
260	0.5503517935
261	0.5482416071
262	0.5461395118
263	0.5440454764
264	0.5419594701
265	0.5398814621
266	0.5378114216
267	0.5357493182
268	0.5336951214
269	0.5316488009
270	0.5296103266
271	0.5275796682
272	0.5255567959
273	0.5235416798
274	0.5215342902
275	0.5195345974
276	0.5175425719
277	0.5155581843
278	0.5135814054
279	0.5116122059
280	0.5096505569
281	0.5076964293
282	0.5057497943
283	0.5038106232
284	0.5018788873
285	0.4999545583
286	0.4980376075
287	0.4961280069
288	0.4942257281
289	0.4923307431
290	0.490443024
291	0.4885625429
292	0.486689272
293	0.4848231837
294	0.4829642505
295	0.4811124448
296	0.4792677395
297	0.4774301072
298	0.4755995208
299	0.4737759534
300	0.471959378
301	0.4701497678
302	0.4683470961
303	0.4665513363
304	0.4647624619
305	0.4629804464
306	0.4612052637
307	0.4594368874
308	0.4576752916
309	0.4559204501
310	0.4541723372
311	0.4524309269
312	0.4506961937
313	0.4489681119
314	0.4472466559
315	0.4455318005
316	0.4438235202
317	0.4421217899
318	0.4404265845
319	0.4387378789
320	0.4370556482
321	0.4353798676
322	0.4337105124
323	0.4320475579
324	0.4303909796
325	0.428740753
326	0.4270968538
327	0.4254592577
328	0.4238279406
329	0.4222028784
330	0.420584047
331	0.4189714227
332	0.4173649815
333	0.4157646999
334	0.4141705541
335	0.4125825207
336	0.4110005762
337	0.4094246973
338	0.4078548607
339	0.4062910432
340	0.4047332218
341	0.4031813735
342	0.4016354753
343	0.4000955045
344	0.3985614384
345	0.3970332542
346	0.3955109295
347	0.3939944417
348	0.3924837686
349	0.3909788877
350	0.389479777
351	0.3879864142
352	0.3864987773
353	0.3850168444
354	0.3835405936
355	0.3820700031
356	0.3806050512
357	0.3791457163
358	0.3776919769
359	0.3762438115
360	0.3748011987
361	0.3733641172
362	0.3719325459
363	0.3705064635
364	0.3690858491
365	0.3676706818
366	0.3662609405
367	0.3648566045
368	0.3634576531
369	0.3620640656
370	0.3606758215
371	0.3592929003
372	0.3579152815
373	0.3565429448
374	0.3551758701
375	0.353814037
376	0.3524574256
377	0.3511060157
378	0.3497597875
379	0.3484187211
380	0.3470827966
381	0.3457519945
382	0.3444262949
383	0.3431056784
384	0.3417901255
385	0.3404796167
386	0.3391741328
387	0.3378736544
388	0.3365781624
389	0.3352876376
390	0.334002061
391	0.3327214136
392	0.3314456766
393	0.330174831
394	0.3289088582
395	0.3276477394
396	0.3263914561
397	0.3251399897
398	0.3238933217
399	0.3226514338
400	0.3214143075
401	0.3201819247
402	0.3189542672
403	0.3177313169
404	0.3165130556
405	0.3152994654
406	0.3140905285
407	0.3128862269
408	0.3116865429
409	0.3104914588
410	0.3093009569
411	0.3081150198
412	0.3069336298
413	0.3057567695
414	0.3045844217
415	0.3034165689
416	0.3022531939
417	0.3010942796
418	0.2999398089
419	0.2987897647
420	0.2976441301
421	0.2965028881
422	0.295366022
423	0.2942335148
424	0.29310535
425	0.2919815108
426	0.2908619807
427	0.2897467432
428	0.2886357818
429	0.2875290801
430	0.2864266217
431	0.2853283905
432	0.2842343701
433	0.2831445445
434	0.2820588975
435	0.2809774132
436	0.2799000756
437	0.2788268688
438	0.2777577769
439	0.2766927841
440	0.2756318749
441	0.2745750334
442	0.2735222441
443	0.2724734914
444	0.27142876
445	0.2703880343
446	0.269351299
447	0.2683185388
448	0.2672897384
449	0.2662648828
450	0.2652439567
451	0.264226945
452	0.2632138329
453	0.2622046053
454	0.2611992473
455	0.2601977441
456	0.2592000809
457	0.258206243
458	0.2572162158
459	0.2562299845
460	0.2552475347
461	0.2542688519
462	0.2532939216
463	0.2523227294
464	0.251355261
465	0.2503915021
466	0.2494314385
467	0.248475056
468	0.2475223405
469	0.246573278
470	0.2456278545
471	0.2446860559
472	0.2437478684
473	0.2428132781
474	0.2418822713
475	0.2409548343
476	0.2400309532
477	0.2391106146
478	0.2381938047
479	0.2372805101
480	0.2363707173
481	0.2354644129
482	0.2345615835
483	0.2336622158
484	0.2327662965
485	0.2318738123
486	0.2309847502
487	0.2300990969
488	0.2292168395
489	0.2283379648
490	0.22746246
491	0.2265903121
492	0.2257215082
493	0.2248560355
494	0.2239938813
495	0.2231350328
496	0.2222794773
497	0.2214272022
498	0.220578195
499	0.2197324431
500	0.218889934
501	0.2180506552
502	0.2172145945
503	0.2163817395
504	0.2155520778
505	0.2147255973
506	0.2139022857
507	0.2130821309
508	0.2122651207
509	0.2114512432
510	0.2106404863
511	0.209832838
512	0.2090282865
513	0.2082268198
514	0.2074284261
515	0.2066330937
516	0.2058408108
517	0.2050515657
518	0.2042653467
519	0.2034821423
520	0.2027019409
521	0.201924731
522	0.2011505012
523	0.2003792399
524	0.1996109358
525	0.1988455776
526	0.1980831539
527	0.1973236536
528	0.1965670654
529	0.1958133782
530	0.1950625807
531	0.194314662
532	0.1935696111
533	0.1928274168
534	0.1920880683
535	0.1913515546
536	0.190617865
537	0.1898869884
538	0.1891589143
539	0.1884336317
540	0.1877111301
541	0.1869913987
542	0.1862744269
543	0.1855602042
544	0.18484872
545	0.1841399638
546	0.1834339252
547	0.1827305937
548	0.1820299589
549	0.1813320106
550	0.1806367383
551	0.1799441319
552	0.1792541811
553	0.1785668758
554	0.1778822058
555	0.1772001609
556	0.1765207312
557	0.1758439066
558	0.1751696772
559	0.1744980328
560	0.1738289638
561	0.1731624601
562	0.1724985119
563	0.1718371095
564	0.1711782431
565	0.1705219029
566	0.1698680794
567	0.1692167627
568	0.1685679433
569	0.1679216117
570	0.1672777583
571	0.1666363735
572	0.165997448
573	0.1653609723
574	0.164726937
575	0.1640953328
576	0.1634661503
577	0.1628393802
578	0.1622150133
579	0.1615930404
580	0.1609734523
581	0.1603562399
582	0.159741394
583	0.1591289056
584	0.1585187656
585	0.157910965
586	0.1573054949
587	0.1567023463
588	0.1561015104
589	0.1555029782
590	0.1549067409
591	0.1543127897
592	0.1537211159
593	0.1531317107
594	0.1525445655
595	0.1519596715
596	0.1513770201
597	0.1507966028
598	0.150218411
599	0.149642436
600	0.1490686695
601	0.148497103
602	0.147927728
603	0.1473605361
604	0.146795519
605	0.1462326683
606	0.1456719757
607	0.1451134329
608	0.1445570318
609	0.144002764
610	0.1434506214
611	0.1429005958
612	0.1423526792
613	0.1418068635
614	0.1412631405
615	0.1407215024
616	0.140181941
617	0.1396444484
618	0.1391090166
619	0.1385756379
620	0.1380443043
621	0.1375150079
622	0.136987741
623	0.1364624958
624	0.1359392645
625	0.1354180393
626	0.1348988127
627	0.134381577
628	0.1338663244
629	0.1333530475
630	0.1328417386
631	0.1323323901
632	0.1318249947
633	0.1313195447
634	0.1308160328
635	0.1303144514
636	0.1298147932
637	0.1293170509
638	0.128821217
639	0.1283272842
640	0.1278352454
641	0.1273450931
642	0.1268568202
643	0.1263704194
644	0.1258858836
645	0.1254032057
646	0.1249223785
647	0.1244433949
648	0.1239662478
649	0.1234909302
650	0.1230174351
651	0.1225457555
652	0.1220758845
653	0.121607815
654	0.1211415403
655	0.1206770533
656	0.1202143473
657	0.1197534155
658	0.119294251
659	0.118836847
660	0.1183811968
661	0.1179272937
662	0.117475131
663	0.117024702
664	0.116576
665	0.1161290185
666	0.1156837508
667	0.1152401904
668	0.1147983307
669	0.1143581653
670	0.1139196875
671	0.1134828909
672	0.1130477692
673	0.1126143158
674	0.1121825243
675	0.1117523885
676	0.1113239019
677	0.1108970582
678	0.1104718512
679	0.1100482745
680	0.1096263219
681	0.1092059872
682	0.1087872642
683	0.1083701466
684	0.1079546284
685	0.1075407034
686	0.1071283654
687	0.1067176085
688	0.1063084265
689	0.1059008134
690	0.1054947633
691	0.10509027
692	0.1046873276
693	0.1042859302
694	0.1038860719
695	0.1034877467
696	0.1030909489
697	0.1026956724
698	0.1023019115
699	0.1019096604
700	0.1015189133
701	0.1011296644
702	0.100741908
703	0.1003556384
704	0.09997084978
705	0.09958753656
706	0.09920569306
707	0.09882531364
708	0.09844639269
709	0.09806892461
710	0.09769290385
711	0.09731832484
712	0.09694518206
713	0.09657347
714	0.09620318318
715	0.09583431614
716	0.09546686342
717	0.0951008196
718	0.09473617929
719	0.09437293711
720	0.09401108768
721	0.09365062568
722	0.09329154577
723	0.09293384267
724	0.09257751109
725	0.09222254578
726	0.09186894149
727	0.09151669301
728	0.09116579513
729	0.09081624269
730	0.09046803052
731	0.09012115348
732	0.08977560646
733	0.08943138435
734	0.08908848207
735	0.08874689456
736	0.08840661679
737	0.08806764373
738	0.08772997037
739	0.08739359174
740	0.08705850287
741	0.08672469881
742	0.08639217464
743	0.08606092545
744	0.08573094636
745	0.08540223248
746	0.08507477898
747	0.08474858101
748	0.08442363377
749	0.08409993246
750	0.08377747231
751	0.08345624854
752	0.08313625642
753	0.08281749124
754	0.08249994828
755	0.08218362286
756	0.08186851031
757	0.08155460598
758	0.08124190524
759	0.08093040347
760	0.08062009608
761	0.08031097848
762	0.08000304612
763	0.07969629445
764	0.07939071894
765	0.07908631508
766	0.07878307838
767	0.07848100437
768	0.07818008859
769	0.07788032659
770	0.07758171395
771	0.07728424627
772	0.07698791916
773	0.07669272824
774	0.07639866915
775	0.07610573756
776	0.07581392914
777	0.07552323959
778	0.07523366461
779	0.07494519994
780	0.07465784131
781	0.07437158449
782	0.07408642525
783	0.07380235938
784	0.07351938269
785	0.073237491
786	0.07295668016
787	0.07267694601
788	0.07239828444
789	0.07212069132
790	0.07184416257
791	0.07156869409
792	0.07129428184
793	0.07102092174
794	0.07074860978
795	0.07047734193
796	0.07020711418
797	0.06993792256
798	0.06966976309
799	0.06940263181
800	0.06913652477
801	0.06887143806
802	0.06860736775
803	0.06834430996
804	0.06808226079
805	0.06782121639
806	0.06756117289
807	0.06730212647
808	0.0670440733
809	0.06678700957
810	0.06653093148
811	0.06627583526
812	0.06602171715
813	0.06576857338
814	0.06551640024
815	0.06526519398
816	0.06501495092
817	0.06476566735
818	0.0645173396
819	0.06426996399
820	0.06402353689
821	0.06377805465
822	0.06353351365
823	0.06328991028
824	0.06304724094
825	0.06280550206
826	0.06256469007
827	0.06232480142
828	0.06208583255
829	0.06184777995
830	0.06161064011
831	0.06137440952
832	0.06113908469
833	0.06090466216
834	0.06067113846
835	0.06043851016
836	0.0602067738
837	0.05997592599
838	0.0597459633
839	0.05951688234
840	0.05928867974
841	0.05906135213
842	0.05883489614
843	0.05860930845
844	0.05838458571
845	0.05816072462
846	0.05793772186
847	0.05771557416
848	0.05749427822
849	0.05727383079
850	0.05705422861
851	0.05683546844
852	0.05661754705
853	0.05640046122
854	0.05618420776
855	0.05596878347
856	0.05575418516
857	0.05554040968
858	0.05532745387
859	0.05511531459
860	0.0549039887
861	0.05469347308
862	0.05448376464
863	0.05427486027
864	0.05406675689
865	0.05385945143
866	0.05365294083
867	0.05344722205
868	0.05324229204
869	0.05303814779
870	0.05283478627
871	0.0526322045
872	0.05243039947
873	0.05222936822
874	0.05202910777
875	0.05182961517
876	0.05163088747
877	0.05143292174
878	0.05123571507
879	0.05103926453
880	0.05084356723
881	0.05064862029
882	0.05045442082
883	0.05026096596
884	0.05006825286
885	0.04987627866
886	0.04968504055
887	0.04949453568
888	0.04930476127
889	0.04911571449
890	0.04892739256
891	0.04873979271
892	0.04855291217
893	0.04836674817
894	0.04818129797
895	0.04799655883
896	0.04781252803
897	0.04762920285
898	0.04744658058
899	0.04726465853
900	0.04708343402
901	0.04690290437
902	0.04672306691
903	0.04654391899
904	0.04636545798
905	0.04618768122
906	0.04601058611
907	0.04583417002
908	0.04565843036
909	0.04548336453
910	0.04530896994
911	0.04513524403
912	0.04496218422
913	0.04478978797
914	0.04461805273
915	0.04444697596
916	0.04427655515
917	0.04410678777
918	0.04393767133
919	0.04376920331
920	0.04360138125
921	0.04343420266
922	0.04326766507
923	0.04310176603
924	0.04293650308
925	0.0427718738
926	0.04260787575
927	0.0424445065
928	0.04228176366
929	0.04211964481
930	0.04195814756
931	0.04179726954
932	0.04163700836
933	0.04147736167
934	0.0413183271
935	0.0411599023
936	0.04100208495
937	0.04084487271
938	0.04068826326
939	0.04053225429
940	0.0403768435
941	0.04022202859
942	0.04006780728
943	0.03991417729
944	0.03976113636
945	0.03960868223
946	0.03945681264
947	0.03930552536
948	0.03915481815
949	0.0390046888
950	0.03885513507
951	0.03870615477
952	0.0385577457
953	0.03840990567
954	0.03826263249
955	0.038115924
956	0.03796977802
957	0.0378241924
958	0.03767916499
959	0.03753469366
960	0.03739077626
961	0.03724741068
962	0.0371045948
963	0.03696232651
964	0.03682060371
965	0.03667942431
966	0.03653878624
967	0.0363986874
968	0.03625912573
969	0.03612009918
970	0.0359816057
971	0.03584364323
972	0.03570620974
973	0.03556930321
974	0.03543292161
975	0.03529706293
976	0.03516172517
977	0.03502690633
978	0.03489260442
979	0.03475881745
980	0.03462554346
981	0.03449278047
982	0.03436052653
983	0.03422877969
984	0.03409753799
985	0.03396679951
986	0.03383656231
987	0.03370682447
988	0.03357758409
989	0.03344883924
990	0.03332058803
991	0.03319282857
992	0.03306555897
993	0.03293877735
994	0.03281248184
995	0.03268667059
996	0.03256134172
997	0.0324364934
998	0.03231212378
999	0.03218823102
